Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Młodszy specjalista ds. danych podstawowych SAP,Maspex,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-danych-podstawowych-sap-tychy,oferta,1003816028?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Test Automation Trainee,UPM Kymmene Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/test-automation-trainee-wroclaw-jaworska-11-13,oferta,1003800322?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy Analityk - Consulting,Incube CPM S.A.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-analityk-consulting-warszawa-marynarska-15,oferta,1003800325?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy Specjalista ds. wdrożeń,Unisoft Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-wdrozen-szczecin-aleja-wojska-polskiego-145,oferta,1003807290?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy Wdrożeniowiec,ASSECO DATA SYSTEMS S.A.,2025-01-07,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/mlodszy-wdrozeniowiec-warszawa-adama-branickiego-13,oferta,1003784734?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Płatny Staż w obszarze Zarządzania Projektami,Robert Bosch Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/platny-staz-w-obszarze-zarzadzania-projektami-warszawa-jutrzenki-105,oferta,1003815846?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Brak tytułu,KPMG,2025-01-07,Brak wynagrodzenia,['Azure'],Brak linku
Vue.js Developer,AXA Avanssur SA Oddział II w Polsce,2025-01-07,70–120 zł netto (+ VAT) / godz.,"['Vue.js', 'T-SQL', 'Node.js']","https://www.pracuj.pl/praca/vue-js-developer-warszawa-chlodna-51,oferta,1003792148?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Junior Tester,WINGED IT SP Z O O,2025-01-07,40–50 zł netto (+ VAT) / godz.,"['Jira', 'SQL']","https://www.pracuj.pl/praca/junior-tester-warszawa,oferta,1003800113?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Programista aplikacji mobilnych (Mobile App Developer),INTELO,2025-01-07,Brak wynagrodzenia,"['Kotlin', 'SQL', 'Android Studio']","https://www.pracuj.pl/praca/programista-aplikacji-mobilnych-mobile-app-developer-lodz-brukowa-12,oferta,1003815599?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
.NET Junior Developer,EIB S.A.,2025-01-07,5 000–9 500 zł brutto / mies.,"['C#', '.NET', 'JavaScript', 'JQuery', 'Microsoft IIS', 'SQL', 'Visual Studio']","https://www.pracuj.pl/praca/net-junior-developer-torun-jeczmienna-21,oferta,1003815596?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
