Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Data Engineer Lead,Affirm,2025-01-13,22 750 - 32 083 pln,"['Fully remote', 'SQL', 'ETL', 'Snowflake']",https://justjoin.it/job-offer/affirm-analytics-lead-full-stack-accounting--warszawa-analytics
QA Automation Test Engineer,Pretius,2025-01-13,25 200 - 28 560 pln,"['Fully remote', 'API Testing']",https://justjoin.it/job-offer/pretius-qa-automation-test-engineer-warszawa-testing
PHP Developer (Symfony / mid),tomHRM,2025-01-13,13 000 - 15 000 pln,"['Fully remote', 'PHP', 'Symfony', 'API']",https://justjoin.it/job-offer/tomhrm-php-developer-symfony-mid--warszawa-php-3e0b7f02
Build to Run Manager,emagine Polska,2025-01-13,28 500 - 33 600 pln,"['English', 'French', 'ITIL']",https://justjoin.it/job-offer/emagine-polska-build-to-run-manager-warszawa-other
Senior .NET Developer,emagine Polska,2025-01-13,26 800 - 30 200 pln,"['Fully remote', 'C#', '.Net', 'Solid']",https://justjoin.it/job-offer/emagine-polska-senior-net-developer-warszawa-net
Trener Online - Programowanie i Projektowanie Gier,Kodland,2025-01-13,3 500 - 4 500 pln,"['Fully remote', 'C++', 'LUA', 'Roblox']",https://justjoin.it/job-offer/kodland-trener-online---programowanie-i-projektowanie-gier-katowice-html
Trener Online - Programowanie i Projektowanie Gier,Kodland,2025-01-13,3 500 - 4 500 pln,"['Fully remote', 'C++', 'LUA', 'Roblox']",https://justjoin.it/job-offer/kodland-trener-online---programowanie-i-projektowanie-gier-warsaw-game
Senior SAP Basis Engineer,DEVTALENTS Sp. z o.o.,2025-01-13,25 000 - 33 000 pln,"['SAP HANA', 'AWS', 'Windows']",https://justjoin.it/job-offer/devtalents-sp-z-o-o--senior-sap-basis-engineer-warszawa-erp
Senior Python AI Engineer,DEVTALENTS Sp. z o.o.,2025-01-13,25 000 - 32 000 pln,"['AI', 'Python', 'AWS']",https://justjoin.it/job-offer/devtalents-sp-z-o-o--senior-python-ai-engineer-warszawa-python
Senior Machine Learning Engineer,DEVTALENTS Sp. z o.o.,2025-01-13,25 000 - 32 000 pln,"['Python', 'Machine Learning', 'Airflow']",https://justjoin.it/job-offer/devtalents-sp-z-o-o--senior-machine-learning-engineer-warszawa-ai
Golang Engineer,Acaisoft,2025-01-13,17 000 - 22 000 pln,"['Fully remote', 'MongoDB', 'Golang', 'Apache Kafka']",https://justjoin.it/job-offer/acaisoft-golang-engineer-warszawa-go
Hadoop Administrator,Kevin Edward,2025-01-13,15 000 - 27 000 pln,"['Big Data', 'Hadoop', 'Spark']",https://justjoin.it/job-offer/kevin-edward-hadoop-administrator-warszawa-admin-3ef57d11
Senior Software Engineer (Java),Kyriba,2025-01-13,20 000 - 27 000 pln,"['Fully remote', 'Java', 'Spring', 'OOP']",https://justjoin.it/job-offer/kyriba-senior-software-engineer-java--warszawa-java
PHP Developer,Square One,2025-01-13,18 000 - 22 000 pln,"['Fully remote', 'PHP', 'SQL', 'Symfony']",https://justjoin.it/job-offer/square-one-php-developer-warszawa-php-76e7f35d
"Principal Software Engineer (AI/ ML- Python, JAVA) (m/f/x)",HERE Technologies,2025-01-13,25 000 - 38 000 pln,"['Fully remote', 'Java', 'Machine Learning', 'C++']",https://justjoin.it/job-offer/here-technologies-principal-software-engineer-ai-ml--python-java-m-f-x--krakow-data
"Principal Software Engineer (AI/ ML- Python, JAVA) (m/f/x)",HERE Technologies,2025-01-13,25 000 - 38 000 pln,"['Fully remote', 'Python', 'C++', 'AI']",https://justjoin.it/job-offer/here-technologies-principal-software-engineer-ai-ml--python-java-m-f-x--krakow-java
"Principal Software Engineer (AI/ ML- Python, JAVA) (m/f/x)",HERE Technologies,2025-01-13,25 000 - 38 000 pln,"['Fully remote', 'Python', 'C++', 'AI']",https://justjoin.it/job-offer/here-technologies-principal-software-engineer-ai-ml--python-java-m-f-x--krakow-python
"Senior Fullstack Developer (.NET, React)",Directio,2025-01-13,25 000 - 29 000 pln,"['Fully remote', '.Net', 'React', 'Azure']",https://justjoin.it/job-offer/directio-senior-fullstack-developer-net-react--warszawa-net
Image Analysis Software Engineer,ITFS,2025-01-13,21 800 - 24 200 pln,"['Fully remote', 'Cloud', 'Python', 'GitLab']",https://justjoin.it/job-offer/itfs-image-analysis-software-engineer-warszawa-python
Senior GoLang Developer,Transition Technologies PSC,2025-01-13,100 - 180 pln,"['Fully remote', 'Golang']",https://justjoin.it/job-offer/transition-technologies-psc-senior-golang-developer-lodz-go
Fullstack Developer (TypeScript & JavaScript),Relout,2025-01-13,12 000 - 22 000 pln,"['Fully remote', 'JavaScript', 'TypeScript', 'Node.js']",https://justjoin.it/job-offer/relout-fullstack-developer-typescript-javascript--warszawa-javascript
Integration Team Lead / Manager,emagine Polska,2025-01-13,25 000 - 31 000 pln,"['Git', 'Team Leadership', 'IBM App Connect Enterprise']",https://justjoin.it/job-offer/emagine-polska-integration-team-lead-manager-warszawa-pm
SAP BTP UI5 Developer,emagine Polska,2025-01-13,21 503 - 32 254 pln,"['Fully remote', 'sap ui5', 'workflows']",https://justjoin.it/job-offer/emagine-polska-sap-btp-ui5-developer-warszawa-other
Senior DataStage Developer,Jit Team,2025-01-13,20 000 - 24 000 pln,"['IBM', 'Microsoft SQL', 'Data']",https://justjoin.it/job-offer/jit-team-senior-datastage-developer-warszawa-data
C#/C++ Metrology Software Developer,Carl Zeiss IQS Software R&D Center Sp. z o.o.,2025-01-13,12 000 - 17 500 pln,"['C#', 'Clean Code', 'CUDA']",https://justjoin.it/job-offer/carl-zeiss-iqs-software-r-d-center-sp-z-o-o--c-c-metrology-software-developer-slupsk-c
Java Developer,ITFS,2025-01-13,15 120 - 17 472 pln,"['Spring', 'Java']",https://justjoin.it/job-offer/itfs-java-developer-poznan-java
Senior Full-Stack Engineer,N-iX,2025-01-13,19 224 - 25 410 pln,"['Fully remote', 'React', 'Java']",https://justjoin.it/job-offer/n-ix-senior-full-stack-engineer-krakow-java
Full Stack Developer,ITDS,2025-01-13,21 000 - 26 880 pln,"['.NET C#', 'MS SQL Server', 'BDD']",https://justjoin.it/job-offer/itds-full-stack-developer-krakow-net
Fullstack Magento Development Lead,Xebia sp. z o.o.,2025-01-13,14 000 - 23 000 pln,"['Fully remote', 'PHP', 'Magento 2', 'AWS']",https://justjoin.it/job-offer/xebia-sp-z-o-o--fullstack-magento-development-lead-rzeszow-php
Mid .NET Developer,Jit Team,2025-01-13,17 100 - 25 200 pln,"['REST API', 'Entity Framework', 'Azure Services']",https://justjoin.it/job-offer/jit-team-mid-net-developer-gdynia-net
Salesforce Customer Support,Link Group,2025-01-13,14 000 - 18 000 pln,"['Fully remote', 'Customer Support', 'English', 'Salesforce']",https://justjoin.it/job-offer/link-group-salesforce-customer-support-warszawa-erp
Web Designer (E-commerce),E Net Production Sp. z o.o.,2025-01-13,8 000 - 12 000 pln,"['Fully remote', 'Figma', 'Adobe CC']",https://justjoin.it/job-offer/e-net-production-sp-z-o-o--web-designer-e-commerce--katowice-other
Scrum Master,E Net Production Sp. z o.o.,2025-01-06,10 000 - 15 000 pln,"['Fully remote', 'Communication Skills', 'Scrum', 'Agile']",https://justjoin.it/job-offer/e-net-production-sp-z-o-o--scrum-master-katowice-pm-1851cc81
PHP Developer,E Net Production Sp. z o.o.,2025-01-06,12 000 - 18 000 pln,"['Fully remote', 'MySQL', 'PHP', 'Docker']",https://justjoin.it/job-offer/e-net-production-sp-z-o-o--php-developer-katowice-php-fc887eef
Senior IT Project Manager (Infrastructure),Link Group,2025-01-13,15 000 - 25 000 pln,"['Project Management', 'Cloud', 'Network Administration']",https://justjoin.it/job-offer/link-group-senior-it-project-manager-infrastructure--wroclaw-pm
Game Developer,CrustLab,2025-01-13,10 080 - 14 280 pln,"['Fully remote', 'OOP', 'JavaScript', 'Git']",https://justjoin.it/job-offer/crustlab-game-developer-krakow-game-702bddcd

Senior React Developer,Momentum,2025-01-16,16 000 - 20 000 pln,"['Fully remote', 'JavaScript', 'React', 'HTML']",https://justjoin.it/job-offer/momentum-senior-react-developer-wroclaw-javascript
Frontend Developer,Harvey Nash Technology,2025-01-20,23 500 - 33 500 pln,"['React', 'JavaScript', 'TypeScript']",https://justjoin.it/job-offer/harvey-nash-technology-frontend-developer-warszawa-javascript
Fullstack (Angular 80%/ Java 20%) Dev,Crestt,2025-01-20,20 160 - 22 680 pln,"['Fully remote', 'Angular', 'JavaScript', 'TypeScript']",https://justjoin.it/job-offer/crestt-fullstack-angular-80-java-20-dev-warszawa-javascript
(Cybersecurity) Senior Project Manager,ITDS,2025-01-20,21 000 - 25 000 pln,"['Confluence', 'Jira', 'Englsh']",https://justjoin.it/job-offer/itds--cybersecurity-senior-project-manager-krakow-pm
Senior Front-end Developer (React.js) - Banking,ITDS,2025-01-20,22 000 - 29 400 pln,"['TypeScript', 'JavaScript', 'React.JS']",https://justjoin.it/job-offer/itds-senior-front-end-developer-react-js---banking-warszawa-javascript
Junior Frontend Developer,"Grupa eSprzedaż, Netgraf",2025-01-20,4 000 - 8 000 pln,"['Fully remote', 'Git', 'HTML/CSS/SASS', 'JS/jQuery']",https://justjoin.it/job-offer/netgraf-junior-frontend-developer-warszawa
Programista C#,Optimakers,2025-01-20,6 000 - 12 000 pln,"['Fully remote', 'ASP.NET', 'Razor', 'jQuery']",https://justjoin.it/job-offer/optimakers-programista-c--bydgoszcz-net-85af7cbd
Senior Full-Stack Engineer,Clarksons,2025-01-20,24 000 - 27 000 pln,"['Fully remote', '.NET C#', '.NET Core', 'TypeScript']",https://justjoin.it/job-offer/clarksons-senior-full-stack-engineer---we-re-building-a-new-team-poznan-net
Remote FullStack Developer,Montrose Software( Polska) Sp.z.o.o,2025-01-20,13 370 - 21 400 pln,"['Fully remote', 'Git', 'AWS', 'SVN']",https://justjoin.it/job-offer/montrose-software-polska-sp-z-o-o-remote-fullstack-developer-krakow-javascript-e1e3d2cb
Lead Backend Engineer (Senior II),Sea,2025-01-20,28 000 - 32 000 pln,"['Fully remote', '.Net', 'Redis', 'Mentoring']",https://justjoin.it/job-offer/sea-lead-backend-engineer-senior-ii--poznan-net
Remote DevOps Engineer,Montrose Software( Polska) Sp.z.o.o,2025-01-20,13 300 - 21 400 pln,"['Fully remote', 'AWS', 'Kubernetes', 'Python']",https://justjoin.it/job-offer/montrose-software-polska-sp-z-o-o-remote-devops-engineer-krakow-devops-9bb9819f
"Regular Fullstack Developer (Java, React)",Jit Team,2025-01-20,18 900 - 25 200 pln,"['Kotlin', 'Microservices', 'TypeScript']",https://justjoin.it/job-offer/jit-team-regular-fullstack-developer-java-react--warszawa-java
Project Management Officer,ITDS,2025-01-20,17 000 - 20 400 pln,"['Private Banking', 'MS Office', 'Waterfall']",https://justjoin.it/job-offer/itds-project-management-officer-warszawa-pm
Business Analyst,Antal Sp. z o.o.,2025-01-20,18 000 - 30 000 pln,"['Python', 'Cloud', 'PM']",https://justjoin.it/job-offer/antal-sp-z-o-o--business-analyst-krakow-analytics-23892bd7
Lead General QC Engineer,N-iX,2025-01-20,12 424 - 22 777 pln,"['Fully remote', 'Java', 'JavaScript', 'TDD']",https://justjoin.it/job-offer/n-ix-lead-general-qc-engineer-krakow-testing
Senior Python Engineer,N-iX,2025-01-20,20 707 - 25 262 pln,"['Fully remote', 'Python', 'Databases', 'REST API']",https://justjoin.it/job-offer/n-ix-senior-python-engineer-krakow-python
Remote FullStack JS Developer - MID,GMI Software,2025-01-20,12 000 - 18 000 pln,"['Fully remote', 'TypeScript', 'Node.js', 'Nest.js']",https://justjoin.it/job-offer/gmi-software-remote-fullstack-js-developer---mid-warszawa-javascript
Remote Backend Developer,GMI Software,2025-01-20,12 000 - 18 000 pln,"['Fully remote', 'GitLab', 'Nest.js', 'Node.js']",https://justjoin.it/job-offer/gmi-software-remote-backend-developer-warszawa-javascript
Backend/Data Engineer,Espeo Software,2025-01-20,20 800 - 24 000 pln,"['Java', 'Python', 'Cloud']",https://justjoin.it/job-offer/espeo-software-backend-data-engineer-krakow-data
Senior .NET Developer,Fortegia,2025-01-20,18 000 - 28 500 pln,"['.Net', 'ASP.NET', 'Software Architecture']",https://justjoin.it/job-offer/fortegia-senior-net-developer-warszawa-net
Data Analyst,PeakData,2025-01-20,6 389 - 12 778 pln,"['Big Data', 'ETL', 'Analytical Thinking']",https://justjoin.it/job-offer/peakdata-data-analyst-wroclaw-data
Senior SAP Consultant,Script Ship Sp z. o.o.,2025-01-20,34 000 - 44 000 pln,"['Fully remote', 'SAP', 'SAP HANA', 'SAP S/4HANA']",https://justjoin.it/job-offer/script-ship-sp-z-o-o--senior-sap-consultant-gdansk-erp
