Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link,Wynagrodzenie_min,Wynagrodzenie_max,Waluta,Wynagrodzenie_avg
Java Regular Developer,Clurgo,2025-01-08,15120-20160pln,"['Fully remote', 'Groovy', 'Java', 'Spring Boot']",https://justjoin.it/job-offer/clurgo-java-regular-developer-warszawa-java,15120.0,20160.0,PLN,17640.0
Senior Backend Developer with Node.js,Text SA,2025-01-08,23000-30000pln,"['Node.js', 'Redis', 'TypeScript']",https://justjoin.it/job-offer/text-sa-senior-backend-developer-with-node-js-wroclaw-javascript-815db644,23000.0,30000.0,PLN,26500.0
SAP Finance Consultant,Experis Manpower Group,2025-01-08,28560-35280pln,"['Fully remote', 'SAP implementation', 'SAP S/4 HANA', 'SAP FICO']",https://justjoin.it/job-offer/experis-manpower-group-sap-finance-consultant-lodz-erp,28560.0,35280.0,PLN,31920.0
SAP SD/MM Consultant,Experis Manpower Group,2025-01-08,28560-35280pln,"['Fully remote', 'SAP SD', 'SAP Functional Support', 'SAP S/4 HANA']",https://justjoin.it/job-offer/experis-manpower-group-sap-sd-mm-consultant-lodz-erp,28560.0,35280.0,PLN,31920.0
SAP (WM/EWM) Logistics Consultant,Experis Manpower Group,2025-01-08,30240-36960pln,"['Fully remote', 'Data analysis', 'SAP WM', 'Functional Support']",https://justjoin.it/job-offer/experis-manpower-group-sap-wm-ewm-logistics-consultant-lodz-erp,30240.0,36960.0,PLN,33600.0
Power Apps Developer (MS Dynamics 365 CE),Experis Manpower Group,2025-01-08,25200-28560pln,"['Fully remote', 'Power Automate', 'Dynamics 365 CE', 'Power Apps']",https://justjoin.it/job-offer/experis-manpower-group-power-apps-developer-ms-dynamics-365-ce--lodz-other,25200.0,28560.0,PLN,26880.0
.Net Developer,Aspire Systems Poland,2025-01-08,13000-16000pln,"['Fully remote', 'ASP.NET', 'JavaScript', 'MS SQL']",https://justjoin.it/job-offer/aspire-systems-poland--net-developer-gdansk-net-f5ea07b1,13000.0,16000.0,PLN,14500.0
Identity and Access Management Support Engineer,Experis Manpower Group,2025-01-08,25200-28560pln,"['Fully remote', 'IAM', 'PAM', 'SOAP']",https://justjoin.it/job-offer/experis-manpower-group-identity-and-access-management-support-engineer-lodz-security,25200.0,28560.0,PLN,26880.0
DevOps Engineer with AWS (US East Coast working hours),Acaisoft,2025-01-08,20000-31000pln,"['Fully remote', 'Docker', 'AWS', 'CI/CD']",https://justjoin.it/job-offer/acaisoft-devops-engineer-with-aws-us-east-coast-working-hours--warszawa-devops,20000.0,31000.0,PLN,25500.0
Senior Scala/Java Developer,Experis Manpower Group,2025-01-08,30240-35280pln,"['Fully remote', 'Databases', 'Java', 'Scala']",https://justjoin.it/job-offer/experis-manpower-group-senior-scala-java-developer-lodz-scala,30240.0,35280.0,PLN,32760.0
Senior Java FullStack Developer,Experis Manpower Group,2025-01-08,28560-33600pln,"['Fully remote', 'Hibernate', 'Java', 'PostreSQL']",https://justjoin.it/job-offer/experis-manpower-group-senior-java-fullstack-developer-lodz-java,28560.0,33600.0,PLN,31080.0
M365 Migration Engineer,Jolera,2025-01-08,20000-40000pln,"['Fully remote', 'M365', 'Azure Active Directory', 'Google Workspace']",https://justjoin.it/job-offer/jolera-m365-migration-engineer-warszawa-admin,20000.0,40000.0,PLN,30000.0
Product Manager,BOLD PL,2025-01-08,12000-14000pln,"['Fully remote', 'English skills', 'Product Management', 'A/B testing experience']",https://justjoin.it/job-offer/bold-pl-product-manager-marketing-ltv--warszawa-pm,12000.0,14000.0,PLN,13000.0
C++ Software Engineer,Robotec.ai,2025-01-08,12500-25000pln,"['Git', 'Linux', 'Unit Testing']",https://justjoin.it/job-offer/robotec-ai-c-software-engineer-warszawa-c-0f50690f,12500.0,25000.0,PLN,18750.0
RMD Configuration Specialist,Jit Team,2025-01-08,9500-21000pln,"['Fully remote', 'SQL', 'Oracle', 'RDBMS']",https://justjoin.it/job-offer/jit-team-rmd-configuration-specialist-warszawa-data,9500.0,21000.0,PLN,15250.0
Software Development Engineer III - Java,Tesco Technology,2025-01-08,26000-36000pln,"['Java', 'Git', 'Spring']",https://justjoin.it/job-offer/tesco-technology-software-development-engineer-iii---java-krakow-java,26000.0,36000.0,PLN,31000.0
Product Control Analyst,Experis Manpower Group,2025-01-08,14400-27200pln,"['Fully remote', 'Analytical Tools', 'control processes']",https://justjoin.it/job-offer/experis-manpower-group-product-control-analyst-warszawa-analytics,14400.0,27200.0,PLN,20800.0
Senior Java Developer,Directio,2025-01-04,23500-27500pln,"['Fully remote', 'Java', 'Backend', 'Automated Testing']",https://justjoin.it/job-offer/directio-java-developer-warszawa-java,23500.0,27500.0,PLN,25500.0
Data Architect,Experis Manpower Group,2025-01-08,30240-40320pln,"['Fully remote', 'SQL', 'NoSQL', 'Tableau']",https://justjoin.it/job-offer/experis-manpower-group-data-architect-lodz-data,30240.0,40320.0,PLN,35280.0
Senior Engineer (C with Java),Macrix Polska,2025-01-08,16500-27000pln,"['C', 'Java', 'Python']",https://justjoin.it/job-offer/macrix-polska-senior-engineer-c-with-python--poznan-c,16500.0,27000.0,PLN,21750.0
Senior Azure Data Engineer,Experis Manpower Group,2025-01-08,28560-33600pln,"['Fully remote', 'Python', 'Azure Data Lake', 'Azure Data Factory']",https://justjoin.it/job-offer/experis-manpower-group-senior-azure-data-engineer-lodz-data,28560.0,33600.0,PLN,31080.0
Fullstack Developer (Java + JS),SCALO,2025-01-08,20160-23520pln,"['Fully remote', 'PostgreSQL', 'Apache Kafka', 'Spring Boot']",https://justjoin.it/job-offer/scalo-fullstack-developer-java-js--katowice-javascript,20160.0,23520.0,PLN,21840.0
Fullstack Developer (Java + JS),SCALO,2025-01-08,20160-23520pln,"['Fully remote', 'Apache Kafka', 'Spring Boot', 'Java']",https://justjoin.it/job-offer/scalo-fullstack-developer-java-js--katowice-java-3b14129f,20160.0,23520.0,PLN,21840.0
Senior Data Scientist,Experis Manpower Group,2025-01-08,26880-30240pln,"['Fully remote', 'Spark', 'R language', 'SQL']",https://justjoin.it/job-offer/experis-manpower-group-senior-data-scientist-lodz-data,26880.0,30240.0,PLN,28560.0
MS Dynamics Senior Data Analyst,Experis Manpower Group,2025-01-08,23520-30240pln,"['Fully remote', 'Power BI', 'MS Dynamics', 'SQL']",https://justjoin.it/job-offer/experis-manpower-group-ms-dynamics-senior-data-analyst-lodz-data,23520.0,30240.0,PLN,26880.0
Senior Power BI Data Engineer,Experis Manpower Group,2025-01-08,26880-30240pln,"['Fully remote', 'SQL', 'Power BI', 'ETL']",https://justjoin.it/job-offer/experis-manpower-group-senior-power-bi-data-engineer-lodz-data,26880.0,30240.0,PLN,28560.0
Azure DataBricks Engineer,CRODU,2025-01-08,23520-31920pln,"['Fully remote', 'Azure', 'Databricks', 'SQL']",https://justjoin.it/job-offer/crodu-azure-databricks-engineer-krakow-data-3c28e8e8,23520.0,31920.0,PLN,27720.0
.NET Developer,Operator Systems,2025-01-08,10000-20000pln,"['Fully remote', '.Net', 'C#', 'SQL Server Reporting Services']",https://justjoin.it/job-offer/operator-systems--net-developer-krakow-net,10000.0,20000.0,PLN,15000.0
