Tytuł,Firma,Data opublikowania,Wynagrodzenie,technologies_json,Link
Programista Java,Atende Industries,2025-01-08,10 000 - 18 000 pln,"[""Oracle SQL"", ""Spring Boot"", ""RabbitMQ""]",https://justjoin.it/job-offer/atende-industries-programista-java-warszawa-java
Front-end Architect,Experis Manpower Group,2025-01-08,30 240 - 38 640 pln,"[""Fully remote"", ""Leadership skills"", ""front-end development""]",https://justjoin.it/job-offer/experis-manpower-group-front-end-architect-warszawa-architecture
SAP Security Consultant,Experis Manpower Group,2025-01-08,28 560 - 36 960 pln,"[""Fully remote"", ""SAP Security"", ""Risk Management"", ""SAP GRC""]",https://justjoin.it/job-offer/experis-manpower-group-sap-security-consultant-lodz-erp
SAP ABAP Developer,Experis Manpower Group,2025-01-08,28 560 - 33 600 pln,"[""Fully remote"", ""SAP Design"", ""ABAP development"", ""SAP S/4 HANA""]",https://justjoin.it/job-offer/experis-manpower-group-sap-abap-developer-lodz-erp
Senior Embedded C/C++ Developer,Clurgo,2025-01-08,25 200 - 26 880 pln,"[""Fully remote"", ""ESP-IDF"", ""C/C++"", ""RTOS""]",https://justjoin.it/job-offer/clurgo-senior-embedded-c-c-developer-warszawa-c
Backend Developer - AI Engineering,Text SA,2025-01-08,21 000 - 33 000 pln,"[""Elasticsearch"", ""Golang"", ""Node.js""]",https://justjoin.it/job-offer/text-sa-backend-developer---ai-engineering-wroclaw-go-9b4586bb
Software Engineer,Asana,2025-01-08,29 000 - 36 000 pln,"[""Node.js"", ""TypeScript"", ""React""]",https://justjoin.it/job-offer/asana-software-engineer-warszawa-javascript-72e94920
SAP Fiori Developer,Experis Manpower Group,2025-01-08,28 560 - 36 960 pln,"[""Fully remote"", ""sap ui5"", ""SAP Fiori"", ""S/4 HANA""]",https://justjoin.it/job-offer/experis-manpower-group-sap-fiori-developer-lodz-erp
Senior Computer Vision Engineer,N-iX,2025-01-08,22 525 - 26 620 pln,"[""Fully remote"", ""AWS"", ""Python"", ""Computer Vision""]",https://justjoin.it/job-offer/n-ix-senior-computer-vision-engineer-warszawa-ai
Java Regular Developer,Clurgo,2025-01-08,15 120 - 20 160 pln,"[""Fully remote"", ""Groovy"", ""Java"", ""Spring Boot""]",https://justjoin.it/job-offer/clurgo-java-regular-developer-warszawa-java
Senior Backend Developer with Node.js,Text SA,2025-01-08,23 000 - 30 000 pln,"[""Node.js"", ""Redis"", ""TypeScript""]",https://justjoin.it/job-offer/text-sa-senior-backend-developer-with-node-js-wroclaw-javascript-815db644
SAP Finance Consultant,Experis Manpower Group,2025-01-08,28 560 - 35 280 pln,"[""Fully remote"", ""SAP implementation"", ""SAP S/4 HANA"", ""SAP FICO""]",https://justjoin.it/job-offer/experis-manpower-group-sap-finance-consultant-lodz-erp
SAP SD/MM Consultant,Experis Manpower Group,2025-01-08,28 560 - 35 280 pln,"[""Fully remote"", ""SAP SD"", ""SAP Functional Support"", ""SAP S/4 HANA""]",https://justjoin.it/job-offer/experis-manpower-group-sap-sd-mm-consultant-lodz-erp
SAP (WM/EWM) Logistics Consultant,Experis Manpower Group,2025-01-08,30 240 - 36 960 pln,"[""Fully remote"", ""Data analysis"", ""SAP WM"", ""Functional Support""]",https://justjoin.it/job-offer/experis-manpower-group-sap-wm-ewm-logistics-consultant-lodz-erp
Power Apps Developer (MS Dynamics 365 CE),Experis Manpower Group,2025-01-08,25 200 - 28 560 pln,"[""Fully remote"", ""Power Automate"", ""Dynamics 365 CE"", ""Power Apps""]",https://justjoin.it/job-offer/experis-manpower-group-power-apps-developer-ms-dynamics-365-ce--lodz-other
.Net Developer,Aspire Systems Poland,2025-01-08,13 000 - 16 000 pln,"[""Fully remote"", ""ASP.NET"", ""JavaScript"", ""MS SQL""]",https://justjoin.it/job-offer/aspire-systems-poland--net-developer-gdansk-net-f5ea07b1
Identity and Access Management Support Engineer,Experis Manpower Group,2025-01-08,25 200 - 28 560 pln,"[""Fully remote"", ""IAM"", ""PAM"", ""SOAP""]",https://justjoin.it/job-offer/experis-manpower-group-identity-and-access-management-support-engineer-lodz-security
DevOps Engineer with AWS (US East Coast working hours),Acaisoft,2025-01-08,20 000 - 31 000 pln,"[""Fully remote"", ""Docker"", ""AWS"", ""CI/CD""]",https://justjoin.it/job-offer/acaisoft-devops-engineer-with-aws-us-east-coast-working-hours--warszawa-devops
Senior Scala/Java Developer,Experis Manpower Group,2025-01-08,30 240 - 35 280 pln,"[""Fully remote"", ""Databases"", ""Java"", ""Scala""]",https://justjoin.it/job-offer/experis-manpower-group-senior-scala-java-developer-lodz-scala
